,Unnamed: 0,name,candidate_id,candidate_state,party,incumbent_challenge_full,cycles,donation_count_in_state,total_raised_in_state,donation_count_out_of_state,total_raised_out_of_state,0
0,0,"AHLERS, DAN",S0SD00070,SD,DEM,Challenger,[2020],118.0,26585.0,6.0,6800.0,False
1,1,"BAER, DAN",S0CO00500,CO,DEM,Challenger,[2020],1138.0,285837.59,1225.0,837717.0,False
2,2,"BALLARD, JACK",S0MT00116,MT,DEM,Challenger,[2020],13.0,4630.0,29.0,16450.0,True
3,3,"BELL, ROBERT CHRISTOPHER MR.",S0TX00324,TX,DEM,Challenger,[2020],537.0,312254.4,41.0,30609.0,True
4,4,"BEN DAVID, MERAV",S0WY00152,WY,DEM,Open seat,[2020],26.0,10785.0,33.0,15367.39,True
5,5,"BILLINGS, DYLAN DR.",S0OK00339,OK,DEM,Challenger,[2020],1.0,250.0,,,True
6,6,"BOLLIER, BARBARA",S0KS00323,KS,DEM,Open seat,[2020],4924.0,1615578.8,6415.0,3635174.41,True
7,7,"BOOKER, CORY A.",S4NJ00185,NJ,DEM,Incumbent,"[2014, 2016, 2018, 2020]",1396.0,737189.67,4684.0,2611215.600000001,True
8,8,"BOYDA, NANCY E",S0KS00224,KS,DEM,Open seat,[2020],10.0,5420.0,3.0,4300.0,True
9,9,"BRADSHAW, MARQUITA",S0TN00342,TN,DEM,Open seat,[2020],15.0,7310.0,5.0,2250.0,True
10,10,"BRAY, DIANA",S0CO00492,CO,DEM,Challenger,[2020],79.0,26863.69,38.0,28195.0,True
11,11,"BROIHIER, MICHAEL GEORGE",S0KY00321,KY,DEM,Challenger,[2020],287.0,43976.57,604.0,260729.5,True
12,12,"BROYLES, ABBY",S0OK00370,OK,DEM,Challenger,[2020],1260.0,391386.39,126.0,48999.5,True
13,13,"BULLOCK, STEVE",S0MT00173,MT,DEM,Challenger,[2020],1524.0,890690.53,10890.0,6831724.560000001,False
14,14,"BURNES, ELLEN DR",S0CO00526,CO,DEM,Challenger,[2020],11.0,10950.0,7.0,4501.0,False
15,15,"COLLINS, WILMOT JAMES",S0MT00090,MT,DEM,Challenger,[2020],352.0,53051.44,283.0,66776.5,False
16,16,"COONS, CHRISTOPHER A.",S0DE00092,DE,DEM,Incumbent,"[2010, 2012, 2014, 2016, 2018, 2020]",1548.0,785843.1,2229.0,2498255.0,False
17,17,"COOPER, MICHAEL E PASTOR",S0TX00332,TX,DEM,Challenger,[2020],2.0,1000.0,2.0,1500.0,False
18,18,"CUNNINGHAM, CAL",S0NC00202,NC,DEM,Challenger,"[2010, 2012, 2014, 2016, 2018, 2020]",12548.0,2746142.59,14255.0,7580103.120000001,False
19,19,"DILLARD SMITH, MAYA",S0GA00500,GA,DEM,Challenger,[2020],8.0,2250.0,22.0,13300.0,True
20,20,"DURBIN, RICHARD J.",S6IL00151,IL,DEM,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",9400.0,2391390.21,2556.0,1127857.1,True
21,21,"EDWARDS, AMANDA",S0TX00258,TX,DEM,Challenger,[2020],981.0,677598.29,325.0,172448.07,False
22,22,"ESPY, MICHAEL",S8MS00287,MS,DEM,Challenger,"[2018, 2020]",1005.0,252770.89,1238.0,529673.26,False
23,23,"FRANKEN, MICHAEL",S0IA00200,IA,DEM,Challenger,[2020],641.0,181990.73,829.0,382640.58,False
24,24,"FULLER, TREVOR MICHAEL",S0NC00285,NC,DEM,Challenger,[2020],31.0,21150.0,6.0,3800.0,False
25,25,"GARCIA, ANNE",S0TX00381,TX,DEM,Challenger,[2020],9.0,7350.0,5.0,6100.0,False
26,26,"GARCIA, LORENA LORENA FOR",S0CO00435,CO,DEM,Challenger,"[2018, 2020]",354.0,45220.88,75.0,20260.7,False
27,27,"GIDEON, SARA",S0ME00111,ME,DEM,Challenger,[2020],7059.0,1869590.45,50579.0,12724548.249999998,True
28,28,"GRAHAM, KIMBERLY",S0IA00168,IA,DEM,Challenger,[2020],315.0,28971.2,315.0,83624.55,True
29,29,"GREENFIELD, THERESA",S0IA00176,IA,DEM,Challenger,[2020],4980.0,1037427.53,14909.0,6573459.339999997,True
30,30,"GRISSOM, BARRY",S0KS00232,KS,DEM,Open seat,[2020],311.0,187812.89,246.0,232667.0,False
31,31,"HAMM, LAWRENCE MR.",S0NJ00233,NJ,DEM,Challenger,[2020],67.0,41504.0,7.0,2500.0,False
32,32,"HARRIS, NANCY LYNN",S0ID00149,ID,DEM,Challenger,[2020],22.0,8121.2,4.0,1000.0,True
33,33,"HARRISON, JAIME",S0SC00289,SC,DEM,Challenger,[2020],18931.0,1718735.23,105000.0,10123577.95,True
34,34,"HART, CLARA M MS",S0SD00096,SD,DEM,Challenger,[2020],1.0,400.0,,,True
35,35,"HEGAR, MARY JENNINGS MJ",S0TX00233,TX,DEM,Challenger,[2020],11379.0,1602179.74,5263.0,2231961.27,True
36,36,"HICKENLOOPER, JOHN W.",S0CO00575,CO,DEM,Challenger,[2020],12424.0,3398213.56,13374.0,7071317.430000002,True
37,37,"HILLIARD, MAGGIE JO",S0KY00511,KY,DEM,Challenger,[2020],1.0,5600.0,2.0,490.12,False
38,38,"HILLIARD, MAGGIE JO",S0KY00487,KY,DEM,Challenger,[2020],1.0,5600.0,2.0,490.12,False
39,39,"JACKSON, DEBORAH A",S0GA00591,GA,DEM,Challenger,[2020],5.0,2300.0,4.0,1650.0,False
40,40,"JANICEK, CHRIS EDWARD MR",S8NE00216,NE,DEM,Challenger,"[2018, 2020]",58.0,18153.19,15.0,6995.0,True
41,41,"JOHNSON-SHEALEY, TAMARA",S0GA00484,GA,DEM,Challenger,[2020],14.0,3690.0,29.0,5048.5,True
42,42,"JOHNSTON, MICHAEL C",S0CO00468,CO,DEM,Challenger,[2020],1808.0,1400694.74,1421.0,2088698.91,True
43,43,"JONES, DOUG",S0AL00156,AL,DEM,Incumbent,"[2002, 2004, 2018, 2020]",6869.0,1569818.78,28772.0,7150753.95,False
44,44,"JONES, MATT",S0KY00370,KY,DEM,Challenger,[2020],1.0,2800.0,3.0,8400.0,False
45,45,"JORDAN LAWLOR, MARILYN",S0IL00576,IL,DEM,Challenger,[2020],11.0,3716.0,,,False
46,46,"JORDAN, PAULETTE",S0ID00180,ID,DEM,Challenger,[2020],266.0,66178.58,132.0,52048.56,False
47,47,"KELLY, MARK",S0AZ00350,AZ,DEM,Challenger,[2020],49292.0,6322262.65,99114.0,18429967.210000005,True
48,48,"KENNEDY, JOSEPH P III",S0MA00208,MA,DEM,Challenger,[2020],3953.0,2963065.05,5521.0,4430571.320000001,True
49,49,"KIDMAN, BRE MX.",S0ME00087,ME,DEM,Challenger,[2020],21.0,2343.6,8.0,8820.0,True
50,50,"KIMBROUGH, ROBIN",S0TN00268,TN,DEM,Open seat,[2020],19.0,5085.0,3.0,1200.0,True
51,51,"KNOX, JAMES",S0GA00674,GA,DEM,Challenger,[2020],1.0,300.0,,,True
52,52,"LAJEUNESSE, ROSS",S0ME00145,ME,DEM,Challenger,[2020],19.0,20450.0,360.0,264170.0,True
53,53,"LIEBERMAN, MATTHEW",S0GA00468,GA,DEM,Challenger,[2020],214.0,131095.98,854.0,904189.24,True
54,54,"LISS-RIORDAN, SHANNON MS.",S0MA00166,MA,DEM,Challenger,[2020],308.0,64118.2,343.0,163724.0,True
55,55,"LOVE, JOHN BENARD III",S0TX00308,TX,DEM,Challenger,[2020],34.0,21743.0,1.0,257.5,True
56,56,"LUDWIG, YANA",S0WY00129,WY,DEM,Open seat,[2020],28.0,5317.69,47.0,17879.78,True
57,57,"LUJAN, BEN RAY",S0NM00058,NM,DEM,Open seat,[2020],6815.0,957568.24,19841.0,2533686.32,False
58,58,"MACKLER, JAMES",S8TN00311,TN,DEM,Open seat,"[2018, 2020]",4258.0,1187668.04,754.0,462207.96,False
59,59,"MADDEN, ALICE",S0CO00534,CO,DEM,Challenger,[2020],337.0,116502.43,82.0,34112.43,False
60,60,"MAHONY, JOSHUA MR.",S0AR00200,AR,DEM,Challenger,[2020],287.0,87820.0,81.0,26305.0,False
61,61,"MANSFIELD, ERIC",S0NC00327,NC,DEM,Challenger,[2020],124.0,82791.72,14.0,16300.0,False
62,62,"MARKEY, EDWARD J. SEN.",S4MA00028,MA,DEM,Incumbent,"[1984, 1986, 1988, 2014, 2016, 2018, 2020]",18932.0,2796223.08,7742.0,3597620.2300000004,False
63,63,"MAURO, EDDIE J",S0IA00150,IA,DEM,Challenger,[2020],155.0,76184.0,157.0,117268.0,False
64,64,"MCGRATH, AMY",S0KY00339,KY,DEM,Challenger,[2020],4816.0,645121.63,90172.0,17156112.75,False
65,65,"MERKLEY, JEFFREY ALAN",S8OR00207,OR,DEM,Incumbent,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]",27811.0,1834286.77,10805.0,1151278.54,True
66,66,"MUES, JOHN",S0MT00108,MT,DEM,Challenger,[2020],160.0,45109.16,134.0,68182.0,True
67,67,"NEUMANN, CORA",S0MT00132,MT,DEM,Challenger,[2020],183.0,96665.0,652.0,437578.11,True
68,68,"OJEDA, RICHARD",S0WV00249,WV,DEM,Challenger,[2020],,,11.0,13900.0,True
69,69,"OSSOFF, T. JONATHAN",S8GA00180,GA,DEM,Challenger,[2020],3502.0,1221597.71,8841.0,2453657.33,True
70,70,"PEMBERTON, STEVE",S0MA00182,MA,DEM,Challenger,[2020],123.0,98125.0,382.0,324585.0,True
71,71,"PETERS, GARY",S4MI00355,MI,DEM,Incumbent,"[2014, 2016, 2018, 2020]",29820.0,4958902.28,17303.0,7332970.28,True
72,72,"PHILIPS, ANGELIC MARIE",S0NE00072,NE,DEM,Challenger,[2020],39.0,6277.62,,,True
73,73,"PICKRELL, MARK",S0TN00284,TN,DEM,Open seat,[2020],1.0,250.0,,,True
74,74,"PIERCE, ANTOINE",S0LA00311,LA,DEM,Challenger,[2020],19.0,31925.5,3.0,5385.0,True
75,75,"REDDI, USHA",S0KS00307,KS,DEM,Open seat,[2020],81.0,39703.98,85.0,51380.5,False
76,76,"REED, JOHN F.",S6RI00163,RI,DEM,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",670.0,341876.27,975.0,983148.31,False
77,77,"RIGGS AMICO, SARAH",S0GA00401,GA,DEM,Challenger,[2020],581.0,218001.8,429.0,347632.56,False
78,78,"ROGERS, BEVON",S0OK00354,OK,DEM,Challenger,[2020],3.0,1250.0,,,False
79,79,"ROMANOFF, ANDREW",S0CO00286,CO,DEM,Challenger,"[2010, 2012, 2014, 2016, 2018, 2020]",13853.0,1851289.4,1440.0,314913.15,False
80,80,"ROTHMULLER, ERIC",S0KY00388,KY,DEM,Challenger,[2020],,,1.0,500.0,False
81,81,"SCARANE, JESSICA",S0DE00175,DE,DEM,Challenger,[2020],323.0,49291.91,540.0,85535.67,True
82,82,"SHAHEEN, JEANNE",S0NH00219,NH,DEM,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",10288.0,1699083.02,32844.0,6887654.620000001,True
83,83,"SHELTON, ALISHA",S0NE00098,NE,DEM,Challenger,[2020],22.0,10695.0,10.0,5120.2,True
84,84,"SHOUSE, HAROLD SHELBY MR JR",S0GA00435,GA,DEM,Challenger,[2020],1.0,350.0,,,True
85,85,"SMITH, ERICA DANETTE",S0NC00343,NC,DEM,Challenger,[2020],1129.0,115482.02,616.0,45135.59,True
86,86,"SMITH, TINA",S8MN00578,MN,DEM,Incumbent,"[2018, 2020]",12672.0,1986934.38,10406.0,3451495.7,False
87,87,"SPAULDING, STEPHANY ROSE",S0CO00484,CO,DEM,Challenger,[2020],399.0,50561.55,71.0,26599.31,False
88,88,"SWEARENGIN, PAULA JEAN",S0WV00215,WV,DEM,Challenger,[2020],201.0,12206.0,1106.0,210064.47000000003,False
89,89,"SWEET, BETSY",S0ME00103,ME,DEM,Challenger,[2020],1761.0,197807.34,1378.0,204638.47,False
90,90,"TARVER, EDWARD J.",S0GA00583,GA,DEM,Challenger,[2020],173.0,93284.81,52.0,24596.72,False
91,91,"TERRY, EDWARD",S0GA00419,GA,DEM,Challenger,[2020],168.0,50937.0,43.0,11705.0,True
92,92,"TINUBU, GLORIA BROMELL DR.",S0SC00305,SC,DEM,Challenger,[2020],7.0,4760.0,16.0,9450.0,True
93,0,"ADAIR, STANLEY E",S0AL00248,AL,REP,Challenger,[2020],11.0,1428.99,,,False
94,1,"ADKINS, GARY GENE",S0VA00096,VA,REP,Challenger,[2020],2.0,3200.0,,,False
95,2,"ALEXANDER, LAMAR",S2TN00058,TN,REP,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",,,2.0,5000.0,False
96,3,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,"[2018, 2020]",35.0,9781.79,223.0,114574.22,False
97,4,"BALDWIN, ALISSA",S0VA00070,VA,REP,Challenger,[2020],10.0,885.0,,,False
98,5,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,[2020],25.0,14192.0,8.0,8532.0,False
99,6,"BIERSCHWALE, VIRGIL",S0TX00365,TX,REP,Challenger,[2020],26.0,904.0,,,False
100,7,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,[2020],484.0,189893.64,601.0,370928.86,False
101,8,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,[2020],25.0,9471.48,24.0,18046.71,False
102,9,"BRITTAIN, CRAIG R",S8AZ00189,AZ,REP,Challenger,"[2018, 2020]",2.0,1015.58,,,False
103,10,"BROOKS, NATISHA",S0TN00235,TN,REP,Open seat,[2020],8.0,1080.0,,,True
104,11,"BUCKNER, DWAYNE DUKE",S0SC00321,SC,REP,Challenger,[2020],13.0,5600.0,2.0,500.0,True
105,12,"BUSH, BYRON",S0TN00201,TN,REP,Open seat,[2020],9.0,7250.0,1.0,500.0,True
106,13,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,[2020],1436.0,1497586.0,260.0,339073.0,True
107,14,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,"[2012, 2014, 2016, 2018, 2020]",506.0,400121.4,1258.0,1523971.4400000004,True
108,15,"CASSIDY, WILLIAM M.",S4LA00107,LA,REP,Incumbent,"[2014, 2016, 2018, 2020]",1807.0,1168324.52,2529.0,2156010.0000000005,True
109,16,"CHLEBEK, CASEY",S0IL00550,IL,REP,Challenger,[2020],1.0,250.0,1.0,1000.0,True
110,17,"CLARKSON, GAVIN",S0NM00066,NM,REP,Open seat,[2020],223.0,56802.24,1208.0,599178.8699999999,True
111,18,"COLLINS, DOUGLAS ALLEN",S0GA00567,GA,REP,Challenger,[2020],1414.0,753790.02,958.0,417814.22,False
112,19,"COLLINS, SUSAN M.",S6ME00159,ME,REP,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",2473.0,881118.0,15657.0,9268915.87,False
113,20,"CORNYN, JOHN SEN",S2TX00106,TX,REP,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",34021.0,7201514.32,9996.0,3477330.18,False
114,21,"COTTON, THOMAS",S4AR00103,AR,REP,Incumbent,"[2014, 2016, 2018, 2020]",3363.0,652921.76,9997.0,2616793.5700000003,False
115,22,"CURRAN, MARK",S0IL00543,IL,REP,Challenger,[2020],132.0,90925.0,14.0,20150.0,False
116,23,"DAINES, STEVE",S2MT00096,MT,REP,Incumbent,"[2010, 2012, 2014, 2016, 2018, 2020]",3149.0,1709581.97,7642.0,4463834.38,True
117,24,"DEMARTINO, JAMES",S0DE00191,DE,REP,Challenger,[2020],8.0,3960.0,18.0,8500.0,False
118,25,"DUNN, BLAINE P HON.",S0VA00187,VA,REP,Challenger,[2020],3.0,1750.0,1.0,1000.0,False
119,26,"ENZI, MICHAEL B",S6WY00126,WY,REP,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",,,25.0,16600.0,False
120,27,"ERNST, JONI K",S4IA00129,IA,REP,Incumbent,"[2014, 2016, 2018, 2020]",8457.0,1674502.85,17995.0,4927650.45,False
121,28,"FAULKNER, OMARI",S0VA00179,VA,REP,Challenger,[2020],125.0,101131.65,91.0,41125.0,False
122,29,"FLANAGAN, PATRICIA",S8NJ00541,NJ,REP,Challenger,"[2018, 2020]",11.0,11342.21,,,False
123,30,"GADE, DANIEL MACARTHUR MR.",S0VA00146,VA,REP,Challenger,[2020],903.0,407304.02,290.0,212939.0,False
124,31,"GAPP, JOSHUA DOMINIQUE GREGORY",S0TN00151,TN,REP,Open seat,[2020],12.0,7300.0,8.0,12800.0,False
125,32,"GARDNER, CORY",S4CO00395,CO,REP,Incumbent,"[2014, 2016, 2018, 2020]",14563.0,3492930.46,11323.0,6240104.46,False
126,33,"GRAHAM, LINDSEY O.",S0SC00149,SC,REP,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",8114.0,1791128.11,52555.0,11164839.379999997,False
127,34,"GRAYSON, DERRICK E REV",S0GA00658,GA,REP,Challenger,[2020],4.0,1250.0,10.0,3750.0,False
128,35,"HAGERTY, BILL",S0TN00169,TN,REP,Open seat,[2020],2083.0,3332903.0,927.0,1780395.0,False
129,36,"HAMILTON, BOB",S0KS00349,KS,REP,Open seat,[2020],86.0,159000.0,25.0,27900.0,False
130,37,"HENRY, JON",S0TN00276,TN,REP,Open seat,[2020],10.0,4640.0,2.0,1500.0,True
131,38,"HUBBARD, PEGGY",S0IL00501,IL,REP,Challenger,[2020],27.0,6231.0,103.0,37611.0,False
132,39,"HYDE-SMITH, CINDY",S8MS00261,MS,REP,Incumbent,"[2018, 2020]",703.0,594686.34,1048.0,425758.58,False
133,40,"INHOFE, JAMES M. SEN.",S4OK00083,OK,REP,Incumbent,"[1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",871.0,756600.94,857.0,933460.1,True
134,41,"INNIS, MATT",S0NE00080,NE,REP,Challenger,[2020],74.0,44537.0,7.0,8600.0,True
135,42,"JAMES, JOHN",S8MI00372,MI,REP,Challenger,"[2018, 2020]",9633.0,3873760.81,9084.0,4154247.55,True
136,43,"JAMES, NAREN",S0KY00461,KY,REP,Challenger,[2020],1.0,60.0,,,True
137,44,"JOHNSON, ARTHUR WAYNE",S0GA00492,GA,REP,Challenger,[2020],2.0,800.0,1.0,250.0,False
138,45,"KOBACH, KRIS",S0KS00257,KS,REP,Open seat,[2020],358.0,212438.01,561.0,496112.99,False
139,46,"LAPIERRE, MICHAEL JAMES",S0SC00313,SC,REP,Challenger,[2020],26.0,21271.34,12.0,4254.94,False
140,47,"LARSON, DANIEL RICHARD",S0MT00157,MT,REP,Challenger,[2020],1.0,500.0,,,True
141,48,"LATURNER, JAKE",S0KS00208,KS,REP,Open seat,[2020],204.0,427907.0,34.0,72950.0,True
142,49,"LEVASSEUR, DEREK ALLEN",S0ME00095,ME,REP,Challenger,[2020],4.0,1250.0,2.0,2300.0,False
143,50,"LEWIS, JASON",S0MN00328,MN,REP,Challenger,[2020],2270.0,909013.41,1153.0,309603.94,True
144,51,"LINDSTROM, DAVID ALAN",S0KS00240,KS,REP,Open seat,[2020],356.0,357933.05,137.0,162510.0,True
145,52,"LOEFFLER, KELLY",S0GA00526,GA,REP,Incumbent,[2020],977.0,1201876.85,492.0,428155.8,True
146,53,"LUMMIS, CYNTHIA MARIE MRS.",S0WY00137,WY,REP,Open seat,[2020],405.0,266961.51,507.0,370610.34,True
147,54,"MARSHALL, ROGER W",S0KS00315,KS,REP,Open seat,[2020],1289.0,1266917.09,397.0,430025.0,True
148,55,"MARTINEZ, ELISA",S0NM00090,NM,REP,Open seat,[2020],451.0,178973.2,473.0,69025.25,True
149,56,"MATLOCK, BRIAN",S0KS00331,KS,REP,Open seat,[2020],4.0,1489.7,15.0,9817.1,True
150,57,"MAVIS, NEIL J MR.",S0OK00438,OK,REP,Challenger,[2020],3.0,1429.01,2.0,5600.0,False
151,58,"MCCARTHY, DANIEL",S0AZ00376,AZ,REP,Challenger,[2020],69.0,24755.0,3.0,1500.0,True
152,59,"MCCONNELL, MITCH",S2KY00012,KY,REP,Incumbent,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",5403.0,1801534.96,104835.0,20679014.36,True
153,60,"MCSALLY, MARTHA",S8AZ00221,AZ,REP,Incumbent,"[2018, 2020]",27921.0,4639037.87,96217.0,12293945.38,True
154,61,"MEHTA, RIKIN",S0NJ00217,NJ,REP,Challenger,[2020],108.0,34557.76,120.0,29156.5,True
