,name,candidate_id,candidate_state,party,incumbent_challenge_full,cycles,donation_count_in_state,total_raised_in_state,donation_count_out_of_state,total_raised_out_of_state
0,"AHLERS, DAN",S0SD00070,SD,DEM,Challenger,[2020],118.0,26585.0,6.0,6800.0
1,"BAER, DAN",S0CO00500,CO,DEM,Challenger,[2020],1138.0,285837.59,1225.0,837717.0
2,"BALLARD, JACK",S0MT00116,MT,DEM,Challenger,[2020],13.0,4630.0,29.0,16450.0
3,"BELL, ROBERT CHRISTOPHER MR.",S0TX00324,TX,DEM,Challenger,[2020],537.0,312254.4,41.0,30609.0
4,"BEN DAVID, MERAV",S0WY00152,WY,DEM,Open seat,[2020],26.0,10785.0,33.0,15367.39
5,"BILLINGS, DYLAN DR.",S0OK00339,OK,DEM,Challenger,[2020],1.0,250.0,,
6,"BOLLIER, BARBARA",S0KS00323,KS,DEM,Open seat,[2020],4924.0,1615578.8,6415.0,3635174.4099999997
7,"BOOKER, CORY A.",S4NJ00185,NJ,DEM,Incumbent,"[2014, 2016, 2018, 2020]",1396.0,737189.67,4684.0,2611215.600000001
8,"BOYDA, NANCY E",S0KS00224,KS,DEM,Open seat,[2020],10.0,5420.0,3.0,4300.0
9,"BRADSHAW, MARQUITA",S0TN00342,TN,DEM,Open seat,[2020],15.0,7310.0,5.0,2250.0
10,"BRAY, DIANA",S0CO00492,CO,DEM,Challenger,[2020],79.0,26863.69,38.0,28195.0
11,"BROIHIER, MICHAEL GEORGE",S0KY00321,KY,DEM,Challenger,[2020],287.0,43976.57,604.0,260729.5
12,"BROYLES, ABBY",S0OK00370,OK,DEM,Challenger,[2020],1260.0,391386.39,126.0,48999.5
13,"BULLOCK, STEVE",S0MT00173,MT,DEM,Challenger,[2020],1524.0,890690.53,10890.0,6831724.5600000005
14,"BURNES, ELLEN DR",S0CO00526,CO,DEM,Challenger,[2020],11.0,10950.0,7.0,4501.0
15,"COLLINS, WILMOT JAMES",S0MT00090,MT,DEM,Challenger,[2020],352.0,53051.44,283.0,66776.5
16,"COONS, CHRISTOPHER A.",S0DE00092,DE,DEM,Incumbent,"[2010, 2012, 2014, 2016, 2018, 2020]",1548.0,785843.1,2229.0,2498255.0
17,"COOPER, MICHAEL E PASTOR",S0TX00332,TX,DEM,Challenger,[2020],2.0,1000.0,2.0,1500.0
18,"CUNNINGHAM, CAL",S0NC00202,NC,DEM,Challenger,"[2010, 2012, 2014, 2016, 2018, 2020]",12548.0,2746142.59,14255.0,7580103.120000001
19,"DILLARD SMITH, MAYA",S0GA00500,GA,DEM,Challenger,[2020],8.0,2250.0,22.0,13300.0
20,"DURBIN, RICHARD J.",S6IL00151,IL,DEM,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",9400.0,2391390.21,2556.0,1127857.1
21,"EDWARDS, AMANDA",S0TX00258,TX,DEM,Challenger,[2020],981.0,677598.29,325.0,172448.07
22,"ESPY, MICHAEL",S8MS00287,MS,DEM,Challenger,"[2018, 2020]",1005.0,252770.89,1238.0,529673.26
23,"FRANKEN, MICHAEL",S0IA00200,IA,DEM,Challenger,[2020],641.0,181990.73,829.0,382640.57999999996
24,"FULLER, TREVOR MICHAEL",S0NC00285,NC,DEM,Challenger,[2020],31.0,21150.0,6.0,3800.0
25,"GARCIA, ANNE",S0TX00381,TX,DEM,Challenger,[2020],9.0,7350.0,5.0,6100.0
26,"GARCIA, LORENA LORENA FOR",S0CO00435,CO,DEM,Challenger,"[2018, 2020]",354.0,45220.88,75.0,20260.7
27,"GIDEON, SARA",S0ME00111,ME,DEM,Challenger,[2020],7059.0,1869590.45,50579.0,12724548.249999998
28,"GRAHAM, KIMBERLY",S0IA00168,IA,DEM,Challenger,[2020],315.0,28971.2,315.0,83624.55
29,"GREENFIELD, THERESA",S0IA00176,IA,DEM,Challenger,[2020],4980.0,1037427.53,14909.0,6573459.339999998
30,"GRISSOM, BARRY",S0KS00232,KS,DEM,Open seat,[2020],311.0,187812.89,246.0,232667.0
