,Unnamed: 0,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party.1,candidate_status,in_state_in_state,donation_count_in_state,total_raised_in_state,in_state_out_of_state,donation_count_out_of_state,total_raised_out_of_state
0,0,"ADAIR, STANLEY E",S0AL00248,AL,REP,Challenger,Senate,[2020],[2020],REP,C,True,11.0,1428.99,,,
1,1,"ADKINS, GARY GENE",S0VA00096,VA,REP,Challenger,Senate,[2020],[2020],REP,C,True,2.0,3200.0,,,
2,2,"ALEXANDER, LAMAR",S2TN00058,TN,REP,Incumbent,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",REP,C,,,,False,2.0,5000.0
3,3,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C,True,35.0,9781.79,False,223.0,114574.21999999999
4,4,"BALDWIN, ALISSA",S0VA00070,VA,REP,Challenger,Senate,[2020],[2020],REP,C,True,10.0,885.0,,,
5,5,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,Senate,[2020],[2020],REP,C,True,25.0,14192.0,False,8.0,8532.0
6,7,"BIERSCHWALE, VIRGIL",S0TX00365,TX,REP,Challenger,Senate,[2020],[2020],REP,N,True,26.0,904.0,,,
7,8,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],REP,C,True,484.0,189893.64,False,601.0,370928.86
8,9,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],REP,C,True,25.0,9471.48,False,24.0,18046.71
9,10,"BRITTAIN, CRAIG R",S8AZ00189,AZ,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,N,True,2.0,1015.58,,,
10,11,"BROOKS, NATISHA",S0TN00235,TN,REP,Open seat,Senate,[2020],[2020],REP,N,True,8.0,1080.0,,,
11,12,"BUCKNER, DWAYNE DUKE",S0SC00321,SC,REP,Challenger,Senate,[2020],[2020],REP,C,True,13.0,5600.0,False,2.0,500.0
12,13,"BUSH, BYRON",S0TN00201,TN,REP,Open seat,Senate,[2020],[2020],REP,C,True,9.0,7250.0,False,1.0,500.0
13,14,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],REP,C,True,1436.0,1497586.0,False,260.0,339073.0
14,15,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",REP,C,True,506.0,400121.4,False,1258.0,1523971.4400000002
15,17,"CASSIDY, WILLIAM M.",S4LA00107,LA,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C,True,1807.0,1168324.52,False,2529.0,2156010.0000000005
16,18,"CHLEBEK, CASEY",S0IL00550,IL,REP,Challenger,Senate,[2020],[2020],REP,C,True,1.0,250.0,False,1.0,1000.0
17,19,"CLARKSON, GAVIN",S0NM00066,NM,REP,Open seat,Senate,[2020],[2020],REP,C,True,223.0,56802.24,False,1208.0,599178.8699999999
18,1,"COLLINS, DOUGLAS ALLEN",S0GA00567,GA,REP,Challenger,Senate,[2020],[2020],REP,C,True,1414.0,753790.02,False,958.0,417814.22000000003
19,2,"COLLINS, SUSAN M.",S6ME00159,ME,REP,Incumbent,Senate,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1996, 2002, 2008, 2014, 2020]",REP,C,True,2473.0,881118.0,False,15657.0,9268915.87
20,4,"CORNYN, JOHN SEN",S2TX00106,TX,REP,Incumbent,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",REP,C,True,34021.0,7201514.32,False,9996.0,3477330.1799999997
21,5,"COTTON, THOMAS",S4AR00103,AR,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C,True,3363.0,652921.76,False,9997.0,2616793.5700000003
22,7,"CURRAN, MARK",S0IL00543,IL,REP,Challenger,Senate,[2020],[2020],REP,C,True,132.0,90925.0,False,14.0,20150.0
23,8,"DAINES, STEVE",S2MT00096,MT,REP,Incumbent,Senate,"[2010, 2012, 2014, 2016, 2018, 2020]","[2012, 2014, 2020]",REP,C,True,3149.0,1709581.97,False,7642.0,4463834.38
24,9,"DEMARTINO, JAMES",S0DE00191,DE,REP,Challenger,Senate,[2020],[2020],REP,C,True,8.0,3960.0,False,18.0,8500.0
25,11,"DUNN, BLAINE P HON.",S0VA00187,VA,REP,Challenger,Senate,[2020],[2020],REP,C,True,3.0,1750.0,False,1.0,1000.0
26,12,"ENZI, MICHAEL B",S6WY00126,WY,REP,Incumbent,Senate,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1996, 2002, 2008, 2014, 2020]",REP,C,,,,False,25.0,16600.0
27,13,"ERNST, JONI K",S4IA00129,IA,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C,True,8457.0,1674502.85,False,17995.0,4927650.45
28,14,"FAULKNER, OMARI",S0VA00179,VA,REP,Challenger,Senate,[2020],[2020],REP,C,True,125.0,101131.65,False,91.0,41125.0
29,15,"FLANAGAN, PATRICIA",S8NJ00541,NJ,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C,True,11.0,11342.21,,,
30,17,"GADE, DANIEL MACARTHUR MR.",S0VA00146,VA,REP,Challenger,Senate,[2020],[2020],REP,C,True,903.0,407304.02,False,290.0,212939.0
31,18,"GAPP, JOSHUA DOMINIQUE GREGORY",S0TN00151,TN,REP,Open seat,Senate,[2020],[2020],REP,C,True,12.0,7300.0,False,8.0,12800.0
32,19,"GARDNER, CORY",S4CO00395,CO,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C,True,14563.0,3492930.46,False,11323.0,6240104.46
