,name,candidate_id,candidate_state,party,incumbent_challenge_full,office_full,cycles,election_years,candidate_status,donor_state,donation_count,total_raised,in_state
0,"ADAIR, STANLEY E",S0AL00248,AL,REP,Challenger,Senate,[2020],[2020],C,AL,11,1428.99,True
1,"ADKINS, GARY GENE",S0VA00096,VA,REP,Challenger,Senate,[2020],[2020],C,VA,2,3200.0,True
2,"ALEXANDER, LAMAR",S2TN00058,TN,REP,Incumbent,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",C,VA,2,5000.0,False
3,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,AL,1,250.0,False
4,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,AR,1,500.0,False
5,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,AZ,5,1300.0,False
6,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,CA,32,13662.91,False
7,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,CO,8,2184.34,False
8,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,CT,1,250.0,False
9,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,DC,2,750.0,False
10,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,FL,32,27454.45,False
11,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,GA,4,1500.0,False
12,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,GU,1,250.0,False
13,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,HI,3,3250.0,False
14,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,IA,3,3250.0,False
15,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,ID,1,250.0,False
16,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,IL,2,750.0,False
17,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,IN,1,250.0,False
18,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,KS,3,1750.0,False
19,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,LA,2,750.0,False
20,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MA,35,9781.79,True
21,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MD,3,1408.78,False
22,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,ME,2,624.99,False
23,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MI,7,4500.0,False
24,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MN,6,940.85,False
25,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MO,2,490.0,False
