,Unnamed: 0,name,candidate_id,candidate_state,party,incumbent_challenge_full,cycles,donation_count_in_state,total_raised_in_state,donation_count_out_of_state,total_raised_out_of_state,0,Color
0,0,"AHLERS, DAN",S0SD00070,SD,DEM,Challenger,[2020],118,26585,6,6800,FALSE,Red
1,1,"BAER, DAN",S0CO00500,CO,DEM,Challenger,[2020],1138,285837.59,1225,837717,FALSE,Blue
2,2,"BALLARD, JACK",S0MT00116,MT,DEM,Challenger,[2020],13,4630,29,16450,TRUE,Red
3,3,"BELL, ROBERT CHRISTOPHER MR.",S0TX00324,TX,DEM,Challenger,[2020],537,312254.4,41,30609,TRUE,Red
4,4,"BEN DAVID, MERAV",S0WY00152,WY,DEM,Open seat,[2020],26,10785,33,15367.39,TRUE,Red
5,5,"BILLINGS, DYLAN DR.",S0OK00339,OK,DEM,Challenger,[2020],1,250,,,TRUE,Red
6,6,"BOLLIER, BARBARA",S0KS00323,KS,DEM,Open seat,[2020],4924,1615578.8,6415,3635174.41,TRUE,Red
7,7,"BOOKER, CORY A.",S4NJ00185,NJ,DEM,Incumbent,"[2014, 2016, 2018, 2020]",1396,737189.67,4684,2611215.6,TRUE,Blue
8,8,"BOYDA, NANCY E",S0KS00224,KS,DEM,Open seat,[2020],10,5420,3,4300,TRUE,Red
9,9,"BRADSHAW, MARQUITA",S0TN00342,TN,DEM,Open seat,[2020],15,7310,5,2250,TRUE,Red
10,10,"BRAY, DIANA",S0CO00492,CO,DEM,Challenger,[2020],79,26863.69,38,28195,TRUE,Blue
11,11,"BROIHIER, MICHAEL GEORGE",S0KY00321,KY,DEM,Challenger,[2020],287,43976.57,604,260729.5,TRUE,Red
12,12,"BROYLES, ABBY",S0OK00370,OK,DEM,Challenger,[2020],1260,391386.39,126,48999.5,TRUE,Red
13,13,"BULLOCK, STEVE",S0MT00173,MT,DEM,Challenger,[2020],1524,890690.53,10890,6831724.56,FALSE,Red
14,14,"BURNES, ELLEN DR",S0CO00526,CO,DEM,Challenger,[2020],11,10950,7,4501,FALSE,Blue
15,15,"COLLINS, WILMOT JAMES",S0MT00090,MT,DEM,Challenger,[2020],352,53051.44,283,66776.5,FALSE,Red
16,16,"COONS, CHRISTOPHER A.",S0DE00092,DE,DEM,Incumbent,"[2010, 2012, 2014, 2016, 2018, 2020]",1548,785843.1,2229,2498255,FALSE,Blue
17,17,"COOPER, MICHAEL E PASTOR",S0TX00332,TX,DEM,Challenger,[2020],2,1000,2,1500,FALSE,Red
18,18,"CUNNINGHAM, CAL",S0NC00202,NC,DEM,Challenger,"[2010, 2012, 2014, 2016, 2018, 2020]",12548,2746142.59,14255,7580103.12,FALSE,Red
19,19,"DILLARD SMITH, MAYA",S0GA00500,GA,DEM,Challenger,[2020],8,2250,22,13300,TRUE,Red
20,20,"DURBIN, RICHARD J.",S6IL00151,IL,DEM,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",9400,2391390.21,2556,1127857.1,TRUE,Blue
21,21,"EDWARDS, AMANDA",S0TX00258,TX,DEM,Challenger,[2020],981,677598.29,325,172448.07,FALSE,Red
