,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party,candidate_status
0,"ADAMS, ELLIOTT",S0KS00190,KS,DEM,Open seat,Senate,"[2018, 2020]",[2020],DEM,N
1,"AHLERS, DAN",S0SD00070,SD,DEM,Challenger,Senate,[2020],[2020],DEM,C
2,"AUSBROOKS, JIMMY",S0KY00313,KY,DEM,Challenger,Senate,[2020],[2020],DEM,N
3,"BAER, DAN",S0CO00500,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
4,"BALLARD, JACK",S0MT00116,MT,DEM,Challenger,Senate,[2020],[2020],DEM,C
5,"BARTEE, TOBEY",S8MS00295,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",DEM,N
6,"BELL, ROBERT CHRISTOPHER MR.",S0TX00324,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
7,"BEN DAVID, MERAV",S0WY00152,WY,DEM,Open seat,Senate,[2020],[2020],DEM,C
8,"BILLINGS, DYLAN DR.",S0OK00339,OK,DEM,Challenger,Senate,[2020],[2020],DEM,N
9,"BLANTON, DERRICK JAMES",S0CO00427,CO,DEM,Challenger,Senate,"[2018, 2020]",[2020],DEM,N
10,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",DEM,N
11,"BOLLIER, BARBARA",S0KS00323,KS,DEM,Open seat,Senate,[2020],[2020],DEM,C
12,"BOOKER, CORY A.",S4NJ00185,NJ,DEM,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",DEM,C
13,"BOYDA, NANCY E",S0KS00224,KS,DEM,Open seat,Senate,[2020],[2020],DEM,C
14,"BOYINGTON, MARCOS DAVID CARDOSO",S0CO00658,CO,DEM,Challenger,Senate,[2020],[2020],DEM,N
15,"BRADFORD, DAPHNE",S0CA00496,CA,DEM,Challenger,Senate,[2020],[2020],DEM,N
16,"BRADSHAW, MARQUITA",S0TN00342,TN,DEM,Open seat,Senate,[2020],[2020],DEM,C
17,"BRAY, DIANA",S0CO00492,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
18,"BRITT, ELYSABETH",S0OK00321,OK,DEM,Challenger,Senate,[2020],[2020],DEM,N
19,"BROIHIER, MICHAEL GEORGE",S0KY00321,KY,DEM,Challenger,Senate,[2020],[2020],DEM,C
0,"BROYLES, ABBY",S0OK00370,OK,DEM,Challenger,Senate,[2020],[2020],DEM,C
1,"BULLOCK, STEVE",S0MT00173,MT,DEM,Challenger,Senate,[2020],[2020],DEM,C
2,"BURNES, ELLEN DR",S0CO00526,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
3,"COLLINS, WILMOT JAMES",S0MT00090,MT,DEM,Challenger,Senate,[2020],[2020],DEM,C
4,"COONS, CHRISTOPHER A.",S0DE00092,DE,DEM,Incumbent,Senate,"[2010, 2012, 2014, 2016, 2018, 2020]","[2010, 2014, 2020]",DEM,C
5,"COOPER, MICHAEL E PASTOR",S0TX00332,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
