,candidate_id,in_state_in_state,donation_count_in_state,total_raised_in_state,in_state_out_of_state,donation_count_out_of_state,total_raised_out_of_state
0,H2MA04073,True,2773.0,907995.49,False,5166.0,1833851.3599999999
1,S0AL00156,True,6465.0,1974748.72,False,72744.0,9000160.89
2,S0CA00199,True,7083.0,4228502.61,False,1997.0,1478827.85
3,S0NY00402,True,1.0,500.0,False,3.0,750.0
4,S0NY00410,True,21155.0,7975154.25,False,17145.0,6100790.979999999
5,S0WV00090,True,1017.0,716496.83,False,3510.0,3975874.3499999996
6,S2CT00132,True,25157.0,3848463.32,False,11626.0,3111503.5100000007
7,S2HI00106,True,1825.0,661193.27,False,1823.0,952444.4399999998
8,S2IN00091,True,15489.0,2944149.73,False,10596.0,6192285.36
9,S2MA00170,True,26216.0,3463516.35,False,107884.0,9092259.130000003
10,S2ND00099,True,4244.0,936370.88,False,52946.0,14951658.5
11,S2NM00088,True,10750.0,1132337.9,False,4013.0,2524515.14
12,S2VA00142,True,21424.0,4913910.49,False,9196.0,7451903.220000001
13,S2WI00219,True,60978.0,7661848.89,False,65362.0,11362450.309999999
14,S6IL00292,True,2546.0,310657.82,False,4906.0,491300.3800000001
15,S6MD03177,True,1401.0,1128677.15,False,1049.0,1242270.77
16,S6MO00305,True,54284.0,12441860.69,False,97999.0,23329803.389999993
17,S6MT00162,True,27666.0,4001573.41,False,30531.0,13135784.48
18,S6NJ00289,True,4113.0,3831064.33,False,3650.0,4674442.78
19,S6OH00163,True,60461.0,8516788.62,False,38495.0,6958095.15
20,S6PA00217,True,43221.0,12207573.22,False,14341.0,7429747.140000001
21,S6RI00221,True,9756.0,1236467.78,False,26598.0,3418009.6299999994
22,S8AL00357,True,2.0,500.0,False,11.0,5800.0
23,S8AL00365,True,4.0,1100.0,False,31.0,11512.54
24,S8AL00373,True,21.0,6326.3,False,2.0,1000.0
25,S8AL00407,True,3.0,652.0,False,6.0,4494.72
26,S8AZ00122,True,114.0,21611.44,False,30.0,16350.85
27,S8AZ00148,True,29.0,6978.56,False,1.0,1000.0
28,S8AZ00155,True,1.0,250.0,False,3.0,1250.0
29,S8AZ00171,True,4.0,1350.0,,,
30,S8AZ00197,True,15402.0,3755998.7,False,23503.0,10637235.309999999
31,S8CA00317,True,60.0,3323.47,False,43.0,5333.7
32,S8CA00358,True,81.0,95134.0,False,17.0,11279.0
33,S8CA00408,True,2461.0,1896777.5,False,383.0,189913.75
34,S8CA00416,True,446.0,68384.11,False,338.0,55374.69
35,S8DE00079,True,1049.0,363752.86,False,818.0,847046.91
36,S8DE00137,True,193.0,53224.85,False,113.0,42056.69
37,S8FL00166,True,63274.0,9860475.53,False,33046.0,10128131.97
38,S8FL00240,True,40.0,1203.0,False,33.0,1179.0
39,S8MD00252,True,2.0,500.0,False,8.0,5200.0
40,S8MD00286,True,3.0,111.0,False,30.0,1018.72
41,S8ME00155,True,41.0,22000.88,False,94.0,62830.18
42,S8MI00281,True,16953.0,3425254.81,False,8671.0,4541334.100000001
43,S8MN00578,True,7620.0,2291004.18,False,6284.0,2593066.46
44,S8MS00220,True,29.0,796.76,False,44.0,905.8299999999999
45,S8MS00246,True,21.0,31400.0,False,252.0,357350.0
46,S8MS00253,True,1193.0,491585.32,False,270.0,146113.91999999998
47,S8MS00287,True,1127.0,599731.47,False,7306.0,2840204.72
48,S8MS00295,True,5.0,1259.0,False,2.0,1000.0
49,S8MS00303,True,38.0,51870.0,False,2.0,3700.0
50,S8MS00311,True,1.0,20000.0,,,
51,S8NE00182,True,5249.0,1085937.2,False,1213.0,406039.71
52,S8NJ00475,True,2.0,1500.0,False,38.0,30050.0
53,S8NV00131,True,23.0,6130.0,False,9.0,3160.0
54,S8NV00149,True,44.0,56233.0,False,56.0,28121.0
55,S8NV00156,True,8887.0,1869119.44,False,78928.0,15996437.25
56,S8TN00311,True,1277.0,532425.18,False,284.0,176965.0
57,S8TN00386,True,10088.0,4754762.95,False,6897.0,4636156.86
58,S8TX00285,True,188224.0,25306560.56,False,90625.0,18483808.640000004
59,S8UT00135,True,5.0,710.0,False,2.0,1000.0
60,S8UT00143,True,2557.0,806854.96,False,231.0,145323.0
61,S8UT00150,True,3.0,125.0,,,
62,S8WA00194,True,17077.0,3727093.58,False,6750.0,3450779.5399999996
63,S8WA00228,True,3.0,975.0,False,10.0,673.36
64,S8WV00119,True,45.0,10869.0,False,301.0,26522.07
65,S8WY00189,True,775.0,316742.65,False,466.0,384726.92000000004
66,S6NV00234,,,,False,7.0,650.0
67,S8MD00260,,,,False,110.0,80601.0
68,S8MO00186,,,,False,2.0,207.0
