,candidate_id,state,donation_count,total_raised,cycle
0,S8AZ00122,AZ,114,21611.44,2018
1,S8AZ00122,CA,5,600.0,2018
2,S8AZ00122,IL,8,1800.85,2018
3,S8AZ00122,MA,3,1500.0,2018
4,S8AZ00122,MI,1,250.0,2018
5,S8AZ00122,NJ,2,1500.0,2018
6,S8AZ00122,OR,1,250.0,2018
7,S8AZ00122,TX,2,1000.0,2018
8,S8AZ00122,VA,7,6750.0,2018
9,S8AZ00122,WA,1,2700.0,2018
10,S2WI00219,AK,131,13014.5,2018
11,S2WI00219,AL,101,17697.66,2018
12,S2WI00219,AR,156,17032.35,2018
13,S2WI00219,AZ,790,79128.95,2018
14,S2WI00219,CA,13961,2470600.98,2018
15,S2WI00219,CO,1489,254761.61,2018
16,S2WI00219,CT,997,129941.93,2018
17,S2WI00219,DC,1891,677970.18,2018
18,S2WI00219,DE,191,22217.99,2018
19,S2WI00219,FL,2437,334802.77,2018
20,S2WI00219,GA,937,148977.29,2018
21,S2WI00219,HI,218,23250.84,2018
22,S2WI00219,IA,525,45135.04,2018
23,S2WI00219,ID,380,59957.51,2018
24,S2WI00219,IL,4704,849821.24,2018
25,S2WI00219,IN,634,36142.97,2018
26,S2WI00219,KS,283,23096.71,2018
27,S2WI00219,KY,443,34242.77,2018
28,S2WI00219,LA,237,58941.01,2018
29,S2WI00219,MA,3847,842939.19,2018
30,S8MS00253,AK,1,250.0,2018
31,S8MS00253,AL,6,2125.0,2018
32,S8MS00253,AR,2,550.0,2018
33,S8MS00253,AZ,1,500.0,2018
34,S8MS00253,CA,52,22510.0,2018
35,S8MS00253,CT,2,750.0,2018
36,S8MS00253,DC,7,20000.0,2018
37,S8MS00253,FL,16,2875.0,2018
38,S8MS00253,GA,11,8243.92,2018
39,S8MS00253,HI,1,500.0,2018
40,S8MS00253,IL,10,3800.0,2018
41,S8MS00253,KY,1,1000.0,2018
42,S8MS00253,LA,42,26300.0,2018
43,S8MS00253,MA,7,1800.0,2018
44,S8MS00253,MD,8,6050.0,2018
45,S8MS00253,ME,2,750.0,2018
46,S8MS00253,MI,2,200.0,2018
47,S8MS00253,MS,1193,491585.32,2018
48,S8MS00253,NC,1,500.0,2018
49,S8MS00253,NE,1,250.0,2018
50,S8MS00295,MS,5,1259.0,2018
51,S8MS00295,TN,2,1000.0,2018
52,S8AZ00171,AZ,4,1350.0,2018
53,S8MS00220,AL,2,110.0,2018
54,S8MS00220,CA,6,30.22,2018
55,S8MS00220,DC,2,16.36,2018
56,S8MS00220,GA,3,40.0,2018
57,S8MS00220,LA,3,30.49,2018
