,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party,candidate_status
0,"ACKISON, MELISSA",S8OH00094,OH,REP,Challenger,Senate,[2018],[2018],REP,C
1,"AKIN, W TODD",S2MO00429,MO,REP,Challenger,Senate,"[2012, 2014, 2016, 2018]","[2012, 2018]",REP,C
2,"ANDERSON, BOB",S8MN00594,MN,REP,Challenger,Senate,[2018],[2018],REP,C
3,"ANDERSON, CONSUELO E",S8HI00194,HI,REP,Challenger,Senate,[2018],[2018],REP,N
4,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
5,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],REP,P
6,"AYERS, CYNTHIA ELLEN",S8PA00296,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
7,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C
8,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
9,"BARRASSO, JOHN A",S6WY00068,WY,REP,Incumbent,Senate,"[1996, 1998, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1996, 2008, 2012, 2018, 2024]",REP,F
10,"BARTOS, JEFFREY A",S8PA00262,PA,REP,Challenger,Senate,[2018],[2018],REP,C
11,"BELL, JEFFREY",S8NJ00012,NJ,REP,Challenger,Senate,"[1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2014, 2016, 2018, 2020]","[1978, 1982, 2014, 2018, 2020]",REP,N
12,"BHUMITRA, ARUN K",S8CA00572,CA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
13,"BLACKBURN, MARSHA MRS.",S8TN00337,TN,REP,,Senate,"[2018, 2020]","[2018, 2024]",REP,F
14,"BOYANTON, RICHARD WARREN",S8MS00238,MS,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
15,"BOYCE, HENRY CHARLES  ""CHUCK""  JR",S8DE00103,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
16,"BRAKEY, ERIC",S8ME00130,ME,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
17,"BRAUN, MIKE",S8IN00171,IN,REP,Incumbent,Senate,"[2018, 2020]","[2018, 2024]",REP,F
18,"BRINSON, R RANDOLPH RANDY MD",S8AL00316,AL,REP,Challenger,Senate,[2018],[2018],REP,N
19,"BRITTAIN, CRAIG R",S8AZ00189,AZ,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,N
0,"BRYANT, DAVID R",S8WA00277,WA,REP,Challenger,Senate,[2018],[2018],REP,C
1,"CAMPBELL, ANTONO WADE",S8MD00328,MD,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
