,name,candidate_id,candidate_state,party,incumbent_challenge_full,office_full,cycles,election_years,candidate_status,donor_state,donation_count,total_raised,in_state
0,"ACKISON, MELISSA",S8OH00094,OH,REP,Challenger,Senate,[2018],[2018],C,AZ,1,500.0,False
1,"ACKISON, MELISSA",S8OH00094,OH,REP,Challenger,Senate,[2018],[2018],C,OH,88,57658.02,True
2,"ACKISON, MELISSA",S8OH00094,OH,REP,Challenger,Senate,[2018],[2018],C,OT,82,13050.3,False
3,"ANDERSON, BOB",S8MN00594,MN,REP,Challenger,Senate,[2018],[2018],C,OT,1,250.0,False
4,"ANDERSON, CONSUELO E",S8HI00194,HI,REP,Challenger,Senate,[2018],[2018],N,CA,1,1000.0,False
5,"ANDERSON, CONSUELO E",S8HI00194,HI,REP,Challenger,Senate,[2018],[2018],N,TX,2,12000.0,False
6,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,CA,1,250.0,False
7,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,DE,204,182484.76,True
8,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,FL,5,3700.0,False
9,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MD,2,270.0,False
10,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NC,1,1000.0,False
11,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NJ,1,250.0,False
12,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,OT,4,1439.92,False
13,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,PA,3,1500.0,False
14,"ARLETT, ROB",S8DE00145,DE,REP,Challenger,Senate,"[2018, 2020]",[2018],P,TX,4,5600.0,False
15,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,AK,12,1652.0,False
16,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,AL,9,2500.0,False
17,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,AR,7,1406.0,False
18,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,AZ,141,37652.0,True
19,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,CA,411,84448.0,False
20,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,CO,54,15557.0,False
21,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,CT,8,1800.0,False
22,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,DC,32,1870.0,False
23,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,DE,14,472.0,False
24,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,FL,129,32831.76,False
25,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,GA,15,7766.0,False
26,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,HI,5,80.0,False
27,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,IA,8,3369.0,False
28,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,ID,14,6230.0,False
29,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,IL,40,9615.0,False
30,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,IN,36,6184.0,False
31,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,KS,9,3437.0,False
32,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,KY,17,3102.0,False
33,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,LA,28,5352.0,False
34,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,MA,14,3385.0,False
35,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,MD,23,10300.0,False
36,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,ME,2,200.0,False
37,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,MI,80,12637.0,False
38,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,MN,39,4000.0,False
39,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,MO,30,6902.0,False
40,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,MS,4,951.0,False
41,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,MT,6,3150.0,False
42,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,NC,36,11228.0,False
43,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,ND,5,1052.0,False
44,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,NE,15,1051.0,False
45,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,NH,5,3451.0,False
46,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,NJ,13,4700.0,False
47,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,NM,12,2644.0,False
48,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,NV,31,9425.0,False
49,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,NY,50,7797.0,False
50,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,OH,33,7806.0,False
51,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,OK,33,2830.0,False
52,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,OR,17,5550.0,False
53,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,OT,3,1000.0,False
54,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,PA,37,8340.0,False
55,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,RI,2,2000.0,False
56,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,SC,23,3950.0,False
57,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,SD,4,1000.0,False
58,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,TN,23,4400.0,False
59,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,TX,185,48844.0,False
60,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,UT,11,1088.0,False
61,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,VA,35,12521.0,False
62,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,WA,57,8270.0,False
63,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,WI,17,2978.0,False
64,"ARPAIO, JOE",S8AZ00247,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],P,WY,5,850.0,False
65,"AYERS, CYNTHIA ELLEN",S8PA00296,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MD,1,2500.0,False
66,"AYERS, CYNTHIA ELLEN",S8PA00296,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MO,1,2500.0,False
67,"AYERS, CYNTHIA ELLEN",S8PA00296,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,PA,4,2700.0,True
68,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,AL,1,2700.0,False
69,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,AZ,5,4450.0,False
70,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,CA,17,15550.0,False
71,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,CO,3,5650.0,False
72,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,CT,1,250.0,False
73,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,DC,2,275.0,False
74,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,FL,15,12100.0,False
75,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,GA,3,3250.0,False
76,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,HI,1,250.0,False
77,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,IL,3,1506.0,False
78,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,IN,1,2700.0,False
79,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,KS,1,1000.0,False
80,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,KY,1,500.0,False
81,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,LA,2,3200.0,False
82,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MA,20,18253.0,True
83,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MD,1,250.0,False
84,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MI,4,3700.0,False
85,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,MN,1,28.0,False
86,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,NC,1,500.0,False
87,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,NH,3,400.0,False
88,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,NM,3,716.0,False
