AL,table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),
AL,.Alabama,"4,887,871"
AK,.Alaska,"737,438"
AZ,.Arizona,"7,171,646"
AR,.Arkansas,"3,013,825"
CA,.California,"39,557,045"
CO,.Colorado,"5,695,564"
CT,.Connecticut,"3,572,665"
DE,.Delaware,"967,171"
DC,.District of Columbia,"702,455"
FL,.Florida,"21,299,325"
GA,.Georgia,"10,519,475"
HI,.Hawaii,"1,420,491"
ID,.Idaho,"1,754,208"
IL,.Illinois,"12,741,080"
IN,.Indiana,"6,691,878"
IA,.Iowa,"3,156,145"
KS,.Kansas,"2,911,505"
KY,.Kentucky,"4,468,402"
LA,.Louisiana,"4,659,978"
ME,.Maine,"1,338,404"
MD,.Maryland,"6,042,718"
MA,.Massachusetts,"6,902,149"
MI,.Michigan,"9,995,915"
MN,.Minnesota,"5,611,179"
MS,.Mississippi,"2,986,530"
MO,.Missouri,"6,126,452"
MT,.Montana,"1,062,305"
NE,.Nebraska,"1,929,268"
NV,.Nevada,"3,034,392"
NH,.New Hampshire,"1,356,458"
NJ,.New Jersey,"8,908,520"
NM,.New Mexico,"2,095,428"
NY,.New York,"19,542,209"
NC,.North Carolina,"10,383,620"
ND,.North Dakota,"760,077"
OH,.Ohio,"11,689,442"
OK,.Oklahoma,"3,943,079"
OR,.Oregon,"4,190,713"
PA,.Pennsylvania,"12,807,060"
RI,.Rhode Island,"1,057,315"
SC,.South Carolina,"5,084,127"
SD,.South Dakota,"882,235"
TN,.Tennessee,"6,770,010"
TX,.Texas,"28,701,845"
UT,.Utah,"3,161,105"
VT,.Vermont,"626,299"
VA,.Virginia,"8,517,685"
WA,.Washington,"7,535,591"
WV,.West Virginia,"1,805,832"
WI,.Wisconsin,"5,813,568"
WY,.Wyoming,"577,737"
,,
,,
,,
,,
,,
